RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
--------------------------------------------------------------------------------------------------------------------------------------------
1       1.237124     0.443846     0.501441       0.509560   0.465353     0.420535     0.465353     0.692456     0.310253        0.692456        0.350425     0.652458      0.350425    
2       0.929422     0.665961     0.510787       0.518248   0.791444     0.161392     0.791444     0.695753     0.361081        0.695753        0.917654     0.103920      0.917654    
3       0.848150     0.671062     0.514308       0.531999   0.795329     0.162665     0.795329     0.697364     0.382488        0.697364        0.925317     0.103298      0.925317    
4       0.780288     0.657781     0.510277       0.550974   0.783593     0.182529     0.783593     0.695624     0.349472        0.695624        0.897032     0.123522      0.897032    
5       0.738364     0.646232     0.554661       0.573486   0.756298     0.354861     0.756298     0.721386     0.407005        0.721386        0.794761     0.314561      0.794761    
6       0.724468     0.601097     0.555919       0.569755   0.700181     0.404197     0.700181     0.728038     0.375635        0.728039        0.674376     0.437461      0.674376    
7       0.715963     0.578193     0.545695       0.564902   0.673860     0.403105     0.673860     0.723092     0.358440        0.723092        0.630904     0.460485      0.630904    
8       0.713269     0.554230     0.537883       0.560389   0.642813     0.407218     0.642813     0.719738     0.345870        0.719738        0.580744     0.495022      0.580744    
9       0.710645     0.551246     0.538816       0.558622   0.637544     0.411014     0.637544     0.720992     0.345949        0.720992        0.571409     0.506223      0.571409    
10      0.709623     0.550188     0.538479       0.557491   0.636095     0.411187     0.636095     0.720840     0.345470        0.720840        0.569179     0.507778      0.569179    
11      0.707746     0.553556     0.537825       0.555101   0.641804     0.407611     0.641804     0.719778     0.345679        0.719778        0.579072     0.496577      0.579072    
12      0.707625     0.551920     0.536039       0.553985   0.640408     0.405668     0.640408     0.718420     0.343939        0.718420        0.577679     0.494400      0.577679    
13      0.707868     0.554133     0.536954       0.552406   0.643259     0.405645     0.643259     0.718933     0.345121        0.718933        0.581998     0.491910      0.581998    
14      0.707212     0.560100     0.539298       0.551987   0.650935     0.405360     0.650935     0.720176     0.348312        0.720176        0.593841     0.484754      0.593841    
15      0.708071     0.553941     0.533980       0.550310   0.644855     0.400466     0.644855     0.716377     0.342705        0.716377        0.586317     0.481643      0.586317    
16      0.708775     0.553556     0.534818       0.550230   0.643729     0.402268     0.643729     0.717146     0.343303        0.717146        0.583949     0.485688      0.583949    
17      0.708760     0.555288     0.535814       0.550150   0.645765     0.402740     0.645765     0.717791     0.344462        0.717791        0.586875     0.484754      0.586875    
18      0.708316     0.556443     0.536049       0.551240   0.647387     0.402282     0.647387     0.717849     0.344897        0.717849        0.589522     0.482576      0.589522    
19      0.708361     0.556251     0.537284       0.552042   0.646314     0.404648     0.646314     0.718942     0.345840        0.718942        0.587014     0.487554      0.587014    
20      0.708841     0.554807     0.537098       0.553058   0.644209     0.405398     0.644209     0.718970     0.345379        0.718970        0.583531     0.490666      0.583531    
21      0.708923     0.554903     0.537168       0.553498   0.644313     0.405451     0.644313     0.719018     0.345455        0.719018        0.583670     0.490666      0.583670    
22      0.709172     0.553171     0.536258       0.553238   0.642213     0.405125     0.642213     0.718448     0.344369        0.718448        0.580605     0.491910      0.580605    
23      0.708820     0.553845     0.536058       0.553785   0.643385     0.404266     0.643385     0.718186     0.344352        0.718187        0.582695     0.489421      0.582695    
24      0.708529     0.554615     0.536444       0.553649   0.644328     0.404376     0.644328     0.718423     0.344820        0.718423        0.584088     0.488799      0.584088    
25      0.708754     0.553556     0.535849       0.553609   0.643071     0.404110     0.643071     0.718041     0.344126        0.718041        0.582277     0.489421      0.582277    
26      0.709084     0.552786     0.535721       0.553412   0.641960     0.404460     0.641960     0.718028     0.343866        0.718028        0.580465     0.490977      0.580465    
27      0.708726     0.553941     0.536214       0.553493   0.643434     0.404471     0.643434     0.718310     0.344496        0.718310        0.582695     0.489732      0.582695    
28      0.708867     0.553267     0.535726       0.553587   0.642703     0.404108     0.642703     0.717971     0.343969        0.717971        0.581719     0.489732      0.581719    
29      0.708901     0.553460     0.536123       0.553436   0.642747     0.404670     0.642747     0.718293     0.344323        0.718293        0.581580     0.490666      0.581580    
30      0.709246     0.552305     0.535631       0.553645   0.641271     0.404658     0.641271     0.718011     0.343696        0.718011        0.579351     0.491910      0.579351    
31      0.709071     0.553075     0.536016       0.553387   0.642219     0.404768     0.642219     0.718249     0.344159        0.718249        0.580744     0.491288      0.580744    
32      0.708897     0.553845     0.536488       0.553401   0.643110     0.405031     0.643110     0.718562     0.344692        0.718562        0.581998     0.490977      0.581998    
33      0.708653     0.554807     0.536755       0.553385   0.644427     0.404786     0.644427     0.718670     0.345108        0.718670        0.584088     0.489421      0.584088    
34      0.709062     0.553267     0.536070       0.553512   0.642483     0.404719     0.642483     0.718271     0.344241        0.718271        0.581162     0.490977      0.581162    
35      0.708807     0.553556     0.536107       0.553493   0.642907     0.404569     0.642907     0.718266     0.344330        0.718266        0.581859     0.490355      0.581859    
36      0.708856     0.553364     0.536225       0.553538   0.642533     0.404924     0.642533     0.718395     0.344384        0.718395        0.581162     0.491288      0.581162    
37      0.708607     0.554711     0.536857       0.553412   0.644214     0.405041     0.644214     0.718771     0.345168        0.718771        0.583670     0.490044      0.583670    
38      0.709137     0.552979     0.536118       0.553559   0.642004     0.405021     0.642004     0.718351     0.344219        0.718351        0.580326     0.491910      0.580326    
39      0.708845     0.553556     0.536450       0.553535   0.642687     0.405180     0.642687     0.718567     0.344602        0.718567        0.581301     0.491599      0.581301    
40      0.708679     0.554326     0.536750       0.553643   0.643687     0.405138     0.643687     0.718729     0.345001        0.718729        0.582834     0.490666      0.582834    
41      0.708833     0.553652     0.536176       0.553623   0.643011     0.404621     0.643011     0.718315     0.344406        0.718315        0.581998     0.490355      0.581998    
42      0.709177     0.552497     0.535684       0.553556   0.641536     0.404609     0.641536     0.718033     0.343777        0.718033        0.579769     0.491599      0.579769    
43      0.708482     0.555673     0.537639       0.553397   0.645201     0.405715     0.645201     0.719328     0.345993        0.719328        0.584924     0.490355      0.584924    
44      0.709101     0.552594     0.536011       0.553622   0.641475     0.405118     0.641475     0.718307     0.344056        0.718307        0.579490     0.492533      0.579490    
45      0.708639     0.553652     0.536005       0.553745   0.643121     0.404315     0.643121     0.718165     0.344269        0.718165        0.582277     0.489732      0.582277    
46      0.708767     0.554326     0.536750       0.553701   0.643687     0.405138     0.643687     0.718729     0.345001        0.718729        0.582834     0.490666      0.582834    
47      0.708723     0.554037     0.536541       0.553401   0.643374     0.404982     0.643374     0.718583     0.344775        0.718583        0.582416     0.490666      0.582416    
48      0.708926     0.553845     0.536745       0.553802   0.642945     0.405489     0.642945     0.718788     0.344895        0.718788        0.581580     0.491910      0.581580    
49      0.708972     0.553075     0.536188       0.553678   0.642109     0.405073     0.642109     0.718400     0.344294        0.718400        0.580465     0.491910      0.580465    
50      0.708982     0.553364     0.536311       0.553774   0.642477     0.405076     0.642477     0.718470     0.344452        0.718470        0.581023     0.491599      0.581023    
51      0.708959     0.553460     0.536638       0.553647   0.642417     0.405585     0.642417     0.718745     0.344730        0.718745        0.580744     0.492533      0.580744    
52      0.708958     0.553845     0.536917       0.553284   0.642835     0.405793     0.642835     0.718938     0.345031        0.718938        0.581301     0.492533      0.581301    
53      0.708871     0.554037     0.536970       0.553518   0.643099     0.405745     0.643099     0.718960     0.345113        0.718960        0.581719     0.492222      0.581719    
54      0.708842     0.554230     0.537024       0.553410   0.643363     0.405697     0.643363     0.718981     0.345197        0.718981        0.582137     0.491910      0.582137    
55      0.708678     0.555192     0.537549       0.553336   0.644516     0.405913     0.644516     0.719313     0.345817        0.719313        0.583809     0.491288      0.583809    
56      0.708407     0.556154     0.538074       0.553241   0.645667     0.406129     0.645667     0.719644     0.346441        0.719644        0.585481     0.490666      0.585481    
57      0.708794     0.554903     0.537426       0.553112   0.644149     0.405909     0.644149     0.719244     0.345657        0.719244        0.583252     0.491599      0.583252    
58      0.708842     0.554133     0.536954       0.553201   0.643259     0.405645     0.643259     0.718933     0.345121        0.718933        0.581998     0.491910      0.581998    
59      0.708640     0.554711     0.537200       0.553212   0.643995     0.405652     0.643995     0.719072     0.345439        0.719072        0.583113     0.491288      0.583113    
60      0.708834     0.554518     0.537405       0.553281   0.643567     0.406158     0.643567     0.719277     0.345558        0.719277        0.582277     0.492533      0.582277    
61      0.708599     0.555481     0.537672       0.553218   0.644884     0.405916     0.644884     0.719383     0.345977        0.719383        0.584367     0.490977      0.584367    
62      0.708944     0.553171     0.536515       0.553801   0.642048     0.405582     0.642048     0.718674     0.344573        0.718674        0.580187     0.492844      0.580187    
63      0.708839     0.554133     0.537040       0.553417   0.643204     0.405797     0.643204     0.719008     0.345189        0.719008        0.581859     0.492222      0.581859    
64      0.708765     0.554326     0.537179       0.553431   0.643413     0.405901     0.643413     0.719105     0.345339        0.719105        0.582137     0.492222      0.582137    
65      0.708545     0.554807     0.537270       0.553287   0.644099     0.405704     0.644099     0.719120     0.345514        0.719120        0.583252     0.491288      0.583252    
66      0.708547     0.554615     0.537045       0.553594   0.643945     0.405447     0.643945     0.718949     0.345295        0.718949        0.583113     0.490977      0.583113    
67      0.708723     0.554133     0.536954       0.553463   0.643259     0.405645     0.643259     0.718933     0.345121        0.718933        0.581998     0.491910      0.581998    
68      0.708670     0.554518     0.537319       0.553476   0.643622     0.406005     0.643622     0.719202     0.345490        0.719202        0.582416     0.492222      0.582416    
69      0.708762     0.554422     0.537421       0.553299   0.643407     0.406258     0.643407     0.719304     0.345550        0.719304        0.581998     0.492844      0.581998    
70      0.708505     0.554615     0.536959       0.553387   0.644000     0.405294     0.644000     0.718873     0.345228        0.718873        0.583252     0.490666      0.583252    
71      0.708638     0.554807     0.537614       0.553408   0.643880     0.406314     0.643880     0.719422     0.345784        0.719422        0.582695     0.492533      0.582695    
72      0.708453     0.554903     0.537254       0.553711   0.644258     0.405603     0.644258     0.719093     0.345522        0.719093        0.583531     0.490977      0.583531    
73      0.708597     0.555000     0.537667       0.553768   0.644143     0.406266     0.644143     0.719443     0.345868        0.719443        0.583113     0.492222      0.583113    
74      0.708474     0.554807     0.537270       0.553586   0.644099     0.405704     0.644099     0.719120     0.345514        0.719120        0.583252     0.491288      0.583252    
75      0.708691     0.554903     0.537769       0.553726   0.643929     0.406519     0.643929     0.719546     0.345927        0.719546        0.582695     0.492844      0.582695    
76      0.708255     0.556154     0.538160       0.553455   0.645612     0.406282     0.645612     0.719719     0.346509        0.719719        0.585342     0.490977      0.585342    
77      0.709065     0.553845     0.537347       0.553573   0.642560     0.406554     0.642560     0.719316     0.345368        0.719316        0.580605     0.494088      0.580605    
78      0.709228     0.552594     0.536527       0.553577   0.641142     0.406030     0.641142     0.718761     0.344461        0.718761        0.578654     0.494400      0.578654    
79      0.708849     0.554615     0.537818       0.553534   0.643451     0.406819     0.643451     0.719628     0.345902        0.719628        0.581859     0.493777      0.581859    
80      0.708210     0.556058     0.537832       0.553462   0.645672     0.405771     0.645672     0.719445     0.346230        0.719445        0.585621     0.490044      0.585621    
81      0.708250     0.555673     0.537811       0.553165   0.645092     0.406021     0.645092     0.719479     0.346129        0.719479        0.584645     0.490977      0.584645    
82      0.708412     0.556443     0.538626       0.553192   0.645761     0.406897     0.645761     0.720089     0.346939        0.720089        0.585342     0.491910      0.585342    
83      0.708599     0.555769     0.538310       0.553117   0.644923     0.406836     0.644923     0.719904     0.346541        0.719904        0.584088     0.492533      0.584088    
84      0.708884     0.554518     0.537662       0.553296   0.643402     0.406615     0.643402     0.719504     0.345760        0.719504        0.581859     0.493466      0.581859    
85      0.709039     0.553460     0.537240       0.553280   0.642031     0.406650     0.642031     0.719274     0.345202        0.719274        0.579769     0.494711      0.579769    
86      0.708759     0.555096     0.537995       0.553113   0.644083     0.406775     0.644083     0.719718     0.346145        0.719718        0.582834     0.493155      0.582834    
87      0.708528     0.555481     0.538101       0.553314   0.644610     0.406680     0.644610     0.719759     0.346314        0.719759        0.583670     0.492533      0.583670    
88      0.708987     0.553652     0.537465       0.553320   0.642185     0.406905     0.642185     0.719447     0.345419        0.719447        0.579908     0.495022      0.579908    
89      0.708724     0.555481     0.538445       0.553177   0.644391     0.407289     0.644391     0.720062     0.346582        0.720062        0.583113     0.493777      0.583113    
90      0.708716     0.554711     0.537458       0.553328   0.643830     0.406110     0.643830     0.719298     0.345641        0.719298        0.582695     0.492222      0.582695    
91      0.708451     0.555866     0.538294       0.553164   0.645082     0.406736     0.645082     0.719876     0.346550        0.719876        0.584367     0.492222      0.584367    
92      0.708813     0.554903     0.537855       0.553179   0.643875     0.406671     0.643875     0.719621     0.345994        0.719621        0.582555     0.493155      0.582555    
93      0.708811     0.554326     0.537609       0.553381   0.643138     0.406662     0.643138     0.719483     0.345676        0.719483        0.581441     0.493777      0.581441    
94      0.708664     0.555769     0.538654       0.553158   0.644704     0.407445     0.644704     0.720206     0.346809        0.720206        0.583531     0.493777      0.583531    
95      0.708649     0.555769     0.538396       0.553211   0.644868     0.406989     0.644868     0.719979     0.346608        0.719979        0.583949     0.492844      0.583949    
96      0.708843     0.555481     0.538531       0.553144   0.644337     0.407441     0.644337     0.720138     0.346649        0.720138        0.582973     0.494088      0.582973    
97      0.708796     0.554807     0.537871       0.553390   0.643715     0.406771     0.643715     0.719649     0.345986        0.719649        0.582277     0.493466      0.582277    
98      0.708750     0.555577     0.538944       0.553278   0.644222     0.408100     0.644222     0.720489     0.346992        0.720489        0.582555     0.495333      0.582555    
99      0.708506     0.555866     0.538552       0.553091   0.644918     0.407193     0.644918     0.720103     0.346751        0.720103        0.583949     0.493155      0.583949    
100     0.708405     0.556539     0.538868       0.553343   0.645756     0.407255     0.645756     0.720288     0.347149        0.720288        0.585203     0.492533      0.585203    
101     0.708563     0.555866     0.538552       0.553581   0.644918     0.407193     0.644918     0.720103     0.346751        0.720103        0.583949     0.493155      0.583949    
102     0.708877     0.555096     0.538166       0.553469   0.643974     0.407080     0.643974     0.719869     0.346280        0.719869        0.582555     0.493777      0.582555    
103     0.708837     0.555192     0.538322       0.553466   0.644023     0.407284     0.644023     0.719993     0.346422        0.719993        0.582555     0.494088      0.582555    
104     0.708771     0.556347     0.539072       0.553247   0.645330     0.407760     0.645330     0.720495     0.347265        0.720495        0.584367     0.493777      0.584367    
105     0.708713     0.555481     0.538531       0.553371   0.644337     0.407441     0.644337     0.720138     0.346649        0.720138        0.582973     0.494088      0.582973    
106     0.708753     0.555288     0.538048       0.553087   0.644347     0.406727     0.644347     0.719739     0.346230        0.719739        0.583252     0.492844      0.583252    
107     0.708630     0.555769     0.538396       0.553305   0.644868     0.406989     0.644868     0.719979     0.346608        0.719979        0.583949     0.492844      0.583949    
108     0.708250     0.556539     0.538352       0.553479   0.646083     0.406339     0.646083     0.719836     0.346746        0.719836        0.586039     0.490666      0.586039    
109     0.708637     0.555866     0.538208       0.553540   0.645136     0.406584     0.645136     0.719801     0.346483        0.719801        0.584506     0.491910      0.584506    
110     0.708635     0.556058     0.538519       0.552899   0.645236     0.406993     0.645236     0.720048     0.346769        0.720048        0.584506     0.492533      0.584506    
111     0.708487     0.556154     0.538503       0.553079   0.645394     0.406893     0.645394     0.720021     0.346778        0.720021        0.584785     0.492222      0.584785    
112     0.708885     0.554615     0.537818       0.553178   0.643451     0.406819     0.643451     0.719628     0.345902        0.719628        0.581859     0.493777      0.581859    
113     0.708833     0.554422     0.537936       0.553325   0.643077     0.407170     0.643077     0.719758     0.345953        0.719758        0.581162     0.494711      0.581162    
114     0.708641     0.555384     0.538118       0.553231   0.644451     0.406780     0.644451     0.719787     0.346305        0.719787        0.583391     0.492844      0.583391    
115     0.708603     0.555000     0.537925       0.553163   0.643979     0.406723     0.643979     0.719670     0.346070        0.719670        0.582695     0.493155      0.582695    
116     0.708542     0.556154     0.538675       0.553306   0.645285     0.407198     0.645285     0.720172     0.346912        0.720172        0.584506     0.492844      0.584506    
117     0.708731     0.555481     0.538531       0.553573   0.644337     0.407441     0.644337     0.720138     0.346649        0.720138        0.582973     0.494088      0.582973    
118     0.708734     0.555481     0.538445       0.553365   0.644391     0.407289     0.644391     0.720062     0.346582        0.720062        0.583113     0.493777      0.583113    
119     0.708972     0.555096     0.538338       0.553163   0.643864     0.407384     0.643864     0.720021     0.346414        0.720021        0.582277     0.494400      0.582277    
120     0.708805     0.555000     0.538011       0.553264   0.643924     0.406875     0.643924     0.719745     0.346137        0.719745        0.582555     0.493466      0.582555    
121     0.708403     0.556443     0.538626       0.553384   0.645761     0.406897     0.645761     0.720089     0.346939        0.720089        0.585342     0.491910      0.585342    
122     0.708666     0.555096     0.538166       0.553321   0.643974     0.407080     0.643974     0.719869     0.346280        0.719869        0.582555     0.493777      0.582555    
123     0.708409     0.555866     0.538380       0.553345   0.645027     0.406889     0.645027     0.719952     0.346617        0.719952        0.584227     0.492533      0.584227    
124     0.708654     0.555288     0.538134       0.552966   0.644292     0.406880     0.644292     0.719814     0.346297        0.719814        0.583113     0.493155      0.583113    
125     0.708553     0.555866     0.538638       0.552855   0.644863     0.407346     0.644863     0.720179     0.346818        0.720179        0.583809     0.493466      0.583809    
126     0.708660     0.555577     0.538257       0.552762   0.644660     0.406884     0.644660     0.719883     0.346457        0.719883        0.583670     0.492844      0.583670    
127     0.708283     0.556347     0.538385       0.553200   0.645766     0.406540     0.645766     0.719890     0.346728        0.719890        0.585481     0.491288      0.585481    
128     0.708580     0.555962     0.538622       0.552974   0.645022     0.407246     0.645022     0.720151     0.346827        0.720151        0.584088     0.493155      0.584088    
129     0.708584     0.555096     0.537995       0.552941   0.644083     0.406775     0.644083     0.719718     0.346145        0.719718        0.582834     0.493155      0.582834    
130     0.708378     0.556539     0.538438       0.553121   0.646029     0.406491     0.646029     0.719911     0.346813        0.719911        0.585899     0.490977      0.585899    
131     0.708593     0.555481     0.538101       0.553124   0.644610     0.406680     0.644610     0.719759     0.346314        0.719759        0.583670     0.492533      0.583670    
132     0.708640     0.555000     0.537581       0.553172   0.644198     0.406114     0.644198     0.719368     0.345801        0.719368        0.583252     0.491910      0.583252    
133     0.708585     0.555769     0.538139       0.552838   0.645032     0.406531     0.645032     0.719753     0.346407        0.719753        0.584367     0.491910      0.584367    
134     0.708725     0.554807     0.537957       0.553476   0.643660     0.406923     0.643660     0.719724     0.346053        0.719724        0.582137     0.493777      0.582137    
135     0.708498     0.555288     0.538048       0.553101   0.644347     0.406727     0.644347     0.719739     0.346230        0.719739        0.583252     0.492844      0.583252    
136     0.708460     0.555769     0.538224       0.553039   0.644978     0.406684     0.644978     0.719828     0.346474        0.719828        0.584227     0.492222      0.584227    
137     0.708352     0.555962     0.538278       0.553262   0.645241     0.406636     0.645241     0.719849     0.346559        0.719849        0.584645     0.491910      0.584645    
138     0.708876     0.555000     0.537753       0.553069   0.644089     0.406418     0.644089     0.719518     0.345935        0.719518        0.582973     0.492533      0.582973    
139     0.709114     0.553460     0.537326       0.553472   0.641975     0.406801     0.641975     0.719350     0.345269        0.719350        0.579629     0.495022      0.579629    
140     0.708249     0.556443     0.538283       0.553314   0.645979     0.406286     0.645979     0.719788     0.346670        0.719788        0.585899     0.490666      0.585899    
141     0.708246     0.556924     0.538803       0.553350   0.646390     0.406854     0.646390     0.720178     0.347186        0.720178        0.586317     0.491288      0.586317    
142     0.708426     0.555673     0.538327       0.553273   0.644764     0.406936     0.644764     0.719931     0.346532        0.719931        0.583809     0.492844      0.583809    
143     0.708484     0.555673     0.538069       0.553411   0.644928     0.406479     0.644928     0.719705     0.346331        0.719705        0.584227     0.491910      0.584227    
144     0.708325     0.555866     0.538294       0.553224   0.645082     0.406736     0.645082     0.719876     0.346550        0.719876        0.584367     0.492222      0.584367    
145     0.708730     0.554518     0.537405       0.552969   0.643567     0.406158     0.643567     0.719277     0.345558        0.719277        0.582277     0.492533      0.582277    
146     0.708479     0.556058     0.538433       0.553021   0.645290     0.406841     0.645290     0.719973     0.346702        0.719973        0.584645     0.492222      0.584645    
147     0.708601     0.554711     0.537372       0.552968   0.643885     0.405957     0.643885     0.719223     0.345574        0.719223        0.582834     0.491910      0.582834    
148     0.708581     0.555288     0.537704       0.552921   0.644566     0.406117     0.644566     0.719437     0.345960        0.719437        0.583809     0.491599      0.583809    
149     0.708716     0.555288     0.537876       0.552838   0.644456     0.406423     0.644456     0.719588     0.346095        0.719588        0.583531     0.492222      0.583531    
150     0.708753     0.555192     0.537806       0.552792   0.644352     0.406370     0.644352     0.719539     0.346019        0.719539        0.583391     0.492222      0.583391    
151     0.708349     0.556443     0.538369       0.552882   0.645925     0.406439     0.645925     0.719863     0.346737        0.719863        0.585760     0.490977      0.585760    
152     0.708036     0.556828     0.538132       0.553034   0.646666     0.405730     0.646666     0.719604     0.346637        0.719604        0.587153     0.489110      0.587153    
153     0.707932     0.557598     0.538174       0.552831   0.647820     0.405227     0.647820     0.719537     0.346844        0.719537        0.589104     0.487243      0.589104    
154     0.708243     0.556732     0.538062       0.552526   0.646562     0.405677     0.646562     0.719556     0.346561        0.719556        0.587014     0.489110      0.587014    
155     0.708575     0.555096     0.537565       0.552655   0.644357     0.406013     0.644357     0.719340     0.345809        0.719340        0.583531     0.491599      0.583531    
156     0.708766     0.554230     0.537282       0.553113   0.643198     0.406154     0.643198     0.719208     0.345399        0.719208        0.581719     0.492844      0.581719    
157     0.708355     0.555481     0.537844       0.553079   0.644774     0.406222     0.644774     0.719533     0.346112        0.719533        0.584088     0.491599      0.584088    
158     0.708313     0.556154     0.538160       0.552831   0.645612     0.406282     0.645612     0.719719     0.346509        0.719719        0.585342     0.490977      0.585342    
159     0.708777     0.554037     0.536970       0.553039   0.643099     0.405745     0.643099     0.718960     0.345113        0.718960        0.581719     0.492222      0.581719    
160     0.709044     0.552497     0.536113       0.553113   0.641259     0.405371     0.641259     0.718410     0.344116        0.718410        0.579072     0.493155      0.579072    
161     0.708402     0.555866     0.537951       0.552961   0.645300     0.406125     0.645300     0.719575     0.346280        0.719575        0.584924     0.490977      0.584924    
162     0.708184     0.556924     0.538631       0.553022   0.646499     0.406548     0.646499     0.720027     0.347051        0.720027        0.586596     0.490666      0.586596    
163     0.708319     0.555192     0.537721       0.553329   0.644407     0.406218     0.644407     0.719464     0.345952        0.719464        0.583531     0.491910      0.583531    
164     0.708542     0.555000     0.537667       0.553455   0.644143     0.406266     0.644143     0.719443     0.345868        0.719443        0.583113     0.492222      0.583113    
165     0.708514     0.555096     0.537479       0.553137   0.644412     0.405860     0.644412     0.719265     0.345741        0.719265        0.583670     0.491288      0.583670    
166     0.708630     0.554711     0.537372       0.553314   0.643885     0.405957     0.643885     0.719223     0.345574        0.719223        0.582834     0.491910      0.582834    
167     0.708803     0.553652     0.536778       0.553149   0.642626     0.405689     0.642626     0.718842     0.344880        0.718842        0.581023     0.492533      0.581023    
168     0.708565     0.554422     0.537249       0.553224   0.643517     0.405953     0.643517     0.719153     0.345415        0.719153        0.582277     0.492222      0.582277    
169     0.708394     0.555384     0.537259       0.553110   0.644998     0.405252     0.644998     0.719034     0.345630        0.719034        0.584785     0.489732      0.584785    
170     0.708422     0.555192     0.537549       0.553235   0.644516     0.405913     0.644516     0.719313     0.345817        0.719313        0.583809     0.491288      0.583809    
171     0.708611     0.553652     0.536348       0.553289   0.642901     0.404927     0.642901     0.718465     0.344541        0.718465        0.581719     0.490977      0.581719    
172     0.708590     0.554133     0.537126       0.553259   0.643149     0.405949     0.643149     0.719084     0.345256        0.719084        0.581719     0.492533      0.581719    
173     0.708223     0.555962     0.537848       0.553289   0.645513     0.405872     0.645513     0.719473     0.346221        0.719473        0.585342     0.490355      0.585342    
174     0.708090     0.556636     0.537735       0.553206   0.646621     0.405165     0.646621     0.719283     0.346281        0.719283        0.587293     0.488177      0.587293    
175     0.708596     0.554326     0.536922       0.553103   0.643577     0.405444     0.643577     0.718879     0.345137        0.718879        0.582555     0.491288      0.582555    
176     0.708771     0.553845     0.536917       0.553345   0.642835     0.405793     0.642835     0.718938     0.345031        0.718938        0.581301     0.492533      0.581301    
177     0.708334     0.555192     0.537635       0.553300   0.644462     0.406065     0.644462     0.719389     0.345884        0.719389        0.583670     0.491599      0.583670    
178     0.708546     0.555384     0.537860       0.553543   0.644615     0.406322     0.644615     0.719560     0.346103        0.719560        0.583809     0.491910      0.583809    
179     0.708133     0.556154     0.537730       0.553370   0.645885     0.405517     0.645885     0.719343     0.346171        0.719343        0.586039     0.489421      0.586039    
180     0.708405     0.554518     0.536889       0.553191   0.643896     0.405242     0.643896     0.718825     0.345152        0.718825        0.583113     0.490666      0.583113    
