RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
--------------------------------------------------------------------------------------------------------------------------------------------
1       2.756570     0.495236     0.464596       0.445477   0.598607     0.320156     0.598607     0.664007     0.274383        0.664007        0.544935     0.384256      0.544935    
2       1.640721     0.677221     0.528817       0.579469   0.797096     0.211195     0.797096     0.704373     0.432563        0.704373        0.917932     0.139701      0.917932    
3       1.165354     0.696083     0.557247       0.613958   0.807227     0.282273     0.807227     0.718305     0.523609        0.718305        0.921276     0.193217      0.921276    
4       0.917978     0.689635     0.581356       0.645135   0.793864     0.372202     0.793864     0.733349     0.497140        0.733349        0.865264     0.297449      0.865264    
5       0.799539     0.682033     0.591659       0.659922   0.782603     0.408309     0.782603     0.741429     0.481013        0.741429        0.828619     0.354698      0.828619    
6       0.748774     0.669522     0.597979       0.670204   0.766553     0.434453     0.766553     0.748440     0.461512        0.748440        0.785565     0.410392      0.785565    
7       0.734022     0.661823     0.595068       0.674082   0.758786     0.434503     0.758786     0.747801     0.450000        0.747801        0.770099     0.420037      0.770099    
8       0.728218     0.665480     0.595224       0.673514   0.762957     0.431840     0.762957     0.747162     0.454890        0.747162        0.779434     0.411014      0.779434    
9       0.721741     0.669810     0.596899       0.673816   0.767279     0.431860     0.767279     0.747555     0.461593        0.747555        0.788073     0.405725      0.788073    
10      0.724873     0.671543     0.599527       0.673501   0.768280     0.436147     0.768280     0.749206     0.464952        0.749206        0.788352     0.410703      0.788352    
11      0.729416     0.668752     0.595961       0.674195   0.766422     0.430698     0.766422     0.747056     0.459746        0.747056        0.786819     0.405103      0.786819    
12      0.728604     0.665961     0.588958       0.673025   0.765837     0.417520     0.765837     0.742349     0.453188        0.742349        0.790860     0.387057      0.790860    
13      0.732152     0.663363     0.585875       0.670074   0.764031     0.412890     0.764031     0.740552     0.448251        0.740552        0.789048     0.382701      0.789048    
14      0.729763     0.659321     0.580801       0.670364   0.761327     0.405042     0.761327     0.737557     0.440424        0.737557        0.786680     0.374922      0.786680    
15      0.729399     0.653835     0.575370       0.668550   0.757107     0.397790     0.757107     0.734539     0.430591        0.734539        0.781106     0.369633      0.781106    
16      0.724164     0.656337     0.574346       0.671077   0.760352     0.392790     0.760352     0.733428     0.433071        0.733428        0.789327     0.359365      0.789327    
17      0.723894     0.655856     0.577692       0.672297   0.758542     0.401206     0.758542     0.735884     0.434373        0.735884        0.782639     0.372744      0.782639    
18      0.726672     0.652873     0.575188       0.670104   0.756070     0.398332     0.756070     0.734560     0.429342        0.734560        0.778877     0.371500      0.778877    
19      0.727262     0.654316     0.575804       0.670452   0.757494     0.398325     0.757494     0.734774     0.431422        0.734774        0.781664     0.369944      0.781664    
20      0.728781     0.652776     0.575290       0.670348   0.755919     0.398667     0.755919     0.734648     0.429289        0.734648        0.778459     0.372122      0.778459    
21      0.729886     0.653450     0.575520       0.670831   0.756607     0.398530     0.756607     0.734707     0.430220        0.734707        0.779852     0.371189      0.779852    
22      0.734375     0.651814     0.574336       0.666758   0.755177     0.397402     0.755177     0.734114     0.427599        0.734114        0.777484     0.371189      0.777484    
23      0.732371     0.651814     0.575796       0.667000   0.754612     0.400795     0.754612     0.735166     0.428470        0.735166        0.775115     0.376478      0.775115    
24      0.735590     0.648253     0.574765       0.667039   0.750869     0.401898     0.750869     0.734988     0.423887        0.734988        0.767452     0.382078      0.767452    
25      0.730568     0.648927     0.577572       0.668311   0.750547     0.407600     0.750547     0.736941     0.426291        0.736941        0.764665     0.390479      0.764665    
26      0.729900     0.648927     0.578946       0.668167   0.750000     0.410662     0.750000     0.737964     0.427083        0.737964        0.762436     0.395457      0.762436    
27      0.730559     0.652103     0.582019       0.667934   0.752516     0.414575     0.752516     0.739704     0.432286        0.739704        0.765780     0.398258      0.765780    
28      0.729179     0.651525     0.582460       0.669094   0.751663     0.416062     0.751663     0.740140     0.431871        0.740140        0.763550     0.401369      0.763550    
29      0.727115     0.653643     0.586741       0.670096   0.752459     0.423514     0.752459     0.743005     0.436448        0.743005        0.762157     0.411325      0.762157    
30      0.729743     0.652391     0.586179       0.670016   0.751205     0.423372     0.751205     0.742814     0.434754        0.742814        0.759788     0.412570      0.759788    
31      0.727781     0.650852     0.583089       0.670889   0.750619     0.418030     0.750619     0.740741     0.431457        0.740741        0.760764     0.405414      0.760764    
32      0.730756     0.652584     0.585459       0.668956   0.751719     0.421660     0.751719     0.742225     0.434610        0.742225        0.761460     0.409459      0.761460    
33      0.731303     0.649216     0.582592       0.668237   0.748880     0.418382     0.748880     0.740665     0.429414        0.740665        0.757280     0.407903      0.757280    
34      0.729836     0.651525     0.584092       0.668674   0.751014     0.419619     0.751014     0.741379     0.432727        0.741379        0.760903     0.407281      0.760903    
35      0.732890     0.651429     0.585053       0.669163   0.750517     0.421775     0.750517     0.742133     0.433115        0.742133        0.759092     0.411014      0.759092    
36      0.732195     0.652584     0.586404       0.669350   0.751343     0.423691     0.751343     0.742951     0.435082        0.742951        0.759928     0.412881      0.759928    
37      0.732466     0.650467     0.584013       0.668660   0.749793     0.420364     0.749793     0.741518     0.431520        0.741518        0.758256     0.409770      0.758256    
38      0.731215     0.652007     0.585557       0.669985   0.750998     0.422364     0.750998     0.742410     0.434012        0.742410        0.759788     0.411325      0.759788    
39      0.728857     0.651140     0.585617       0.671771   0.749948     0.423230     0.749948     0.742623     0.433084        0.742623        0.757420     0.413815      0.757420    
40      0.728869     0.651718     0.583114       0.670156   0.751630     0.417324     0.751630     0.740600     0.432432        0.740600        0.762993     0.403236      0.762993    
41      0.731353     0.651622     0.585106       0.670584   0.750723     0.421725     0.750723     0.742137     0.433355        0.742138        0.759510     0.410703      0.759510    
42      0.729840     0.652295     0.587742       0.671363   0.750466     0.426781     0.750466     0.744043     0.435416        0.744043        0.757002     0.418482      0.757002    
43      0.729975     0.652295     0.587226       0.670915   0.750673     0.425687     0.750673     0.743642     0.435164        0.743642        0.757838     0.416615      0.757838    
44      0.729115     0.653161     0.588369       0.670647   0.751242     0.427391     0.751242     0.744358     0.436688        0.744358        0.758256     0.418482      0.758256    
45      0.726819     0.655182     0.589574       0.672141   0.753152     0.428275     0.753152     0.744890     0.439568        0.744890        0.761600     0.417548      0.761600    
46      0.725961     0.655664     0.590609       0.672049   0.753309     0.430073     0.753309     0.745598     0.440601        0.745598        0.761182     0.420037      0.761182    
47      0.725816     0.651429     0.590722       0.672204   0.748227     0.433709     0.748227     0.746567     0.435889        0.746567        0.749896     0.431549      0.749895    
48      0.725692     0.651044     0.588983       0.672632   0.748474     0.430412     0.748474     0.745269     0.434645        0.745269        0.751707     0.426260      0.751707    
49      0.724278     0.652969     0.590806       0.673321   0.750035     0.432662     0.750035     0.746310     0.437619        0.746310        0.753797     0.427816      0.753797    
50      0.724042     0.649119     0.589308       0.673301   0.746030     0.432617     0.746030     0.745926     0.432752        0.745926        0.746134     0.432483      0.746133    
51      0.724264     0.651140     0.591287       0.673658   0.747651     0.435094     0.747651     0.747078     0.435841        0.747078        0.748223     0.434350      0.748223    
52      0.723201     0.652969     0.593297       0.674692   0.749026     0.437792     0.749026     0.748296     0.438750        0.748296        0.749756     0.436839      0.749756    
53      0.723962     0.650948     0.592436       0.673998   0.746948     0.437587     0.746948     0.748044     0.436167        0.748044        0.745855     0.439017      0.745855    
54      0.725323     0.650659     0.591540       0.672566   0.746968     0.435985     0.746968     0.747385     0.435444        0.747385        0.746552     0.436528      0.746551    
55      0.724889     0.652680     0.593948       0.673157   0.748414     0.439335     0.748414     0.748884     0.438722        0.748884        0.747945     0.439950      0.747945    
56      0.725692     0.651525     0.593197       0.673660   0.747331     0.438692     0.747331     0.748532     0.437133        0.748532        0.746134     0.440261      0.746133    
57      0.728301     0.649986     0.591997       0.671842   0.745966     0.437432     0.745966     0.747899     0.434943        0.747899        0.744043     0.439950      0.744043    
58      0.729671     0.649986     0.591396       0.671067   0.746215     0.436211     0.746215     0.747414     0.434662        0.747414        0.745019     0.437772      0.745019    
59      0.728658     0.648350     0.591672       0.672248   0.744118     0.438019     0.744118     0.747994     0.433090        0.747994        0.740281     0.443062      0.740281    
60      0.729322     0.651044     0.594653       0.672640   0.746150     0.441982     0.746150     0.749824     0.437272        0.749824        0.742511     0.446795      0.742511    
61      0.732286     0.647868     0.591151       0.670883   0.743750     0.437337     0.743750     0.747677     0.432350        0.747677        0.739863     0.442439      0.739863    
62      0.732663     0.644885     0.590280       0.671807   0.740470     0.437843     0.740470     0.747621     0.428955        0.747621        0.733454     0.447106      0.733454    
63      0.731195     0.644885     0.590194       0.671789   0.740506     0.437671     0.740506     0.747551     0.428913        0.747551        0.733593     0.446795      0.733593    
64      0.733824     0.644308     0.590464       0.671506   0.739682     0.438639     0.739682     0.747899     0.428487        0.747899        0.731643     0.449284      0.731643    
65      0.732630     0.641420     0.589834       0.671556   0.736380     0.439531     0.736380     0.748024     0.425451        0.748024        0.725094     0.454574      0.725094    
66      0.731623     0.642960     0.591120       0.673116   0.737735     0.440928     0.737735     0.748744     0.427528        0.748744        0.727045     0.455196      0.727045    
67      0.732397     0.640266     0.589857       0.672491   0.734931     0.440419     0.734931     0.748303     0.424409        0.748303        0.722029     0.457685      0.722029    
68      0.731259     0.642190     0.591680       0.673223   0.736536     0.442579     0.736536     0.749387     0.427083        0.749387        0.724119     0.459241      0.724119    
69      0.733147     0.640169     0.591076       0.672989   0.734276     0.442855     0.734276     0.749347     0.424936        0.749347        0.719799     0.462352      0.719799    
70      0.733295     0.640651     0.591252       0.672687   0.734801     0.442853     0.734801     0.749384     0.425459        0.749384        0.720775     0.461730      0.720775    
71      0.733554     0.643730     0.594169       0.672339   0.737372     0.446306     0.737372     0.751120     0.429724        0.751120        0.724119     0.464219      0.724119    
72      0.735566     0.641998     0.592829       0.672426   0.735795     0.444942     0.735795     0.750398     0.427466        0.750398        0.721750     0.463908      0.721750    
73      0.734582     0.642094     0.592641       0.673277   0.735998     0.444511     0.735998     0.750217     0.427463        0.750217        0.722307     0.462974      0.722307    
74      0.733550     0.640458     0.592402       0.674418   0.734055     0.445203     0.734055     0.750400     0.425852        0.750400        0.718406     0.466397      0.718406    
75      0.734889     0.641324     0.592599       0.674011   0.735054     0.444974     0.735054     0.750363     0.426735        0.750363        0.720357     0.464841      0.720357    
76      0.735591     0.639688     0.590985       0.674051   0.733713     0.443023     0.733713     0.749383     0.424458        0.749383        0.718685     0.463286      0.718685    
77      0.733906     0.642190     0.592968       0.674351   0.735975     0.445075     0.735975     0.750471     0.427711        0.750471        0.722029     0.463908      0.722029    
78      0.736554     0.641035     0.592218       0.673122   0.734859     0.444444     0.734859     0.750109     0.426286        0.750109        0.720217     0.464219      0.720217    
79      0.738239     0.641324     0.592943       0.673213   0.734903     0.445634     0.734903     0.750654     0.426902        0.750654        0.719799     0.466086      0.719799    
80      0.737917     0.641517     0.592652       0.674265   0.735271     0.444941     0.735271     0.750363     0.426937        0.750363        0.720775     0.464530      0.720775    
81      0.736539     0.641998     0.593602       0.674650   0.735457     0.446429     0.735457     0.751053     0.427838        0.751053        0.720496     0.466708      0.720496    
82      0.737951     0.641132     0.593662       0.674939   0.734345     0.447146     0.734345     0.751312     0.427074        0.751312        0.718127     0.469197      0.718127    
83      0.736772     0.641324     0.594403       0.674965   0.734260     0.448424     0.734260     0.751898     0.427604        0.751898        0.717431     0.471375      0.717431    
84      0.734730     0.644500     0.595413       0.675091   0.737791     0.448163     0.737791     0.751990     0.431034        0.751990        0.724119     0.466708      0.724119    
85      0.735475     0.640362     0.591902       0.675343   0.734154     0.444312     0.734154     0.750000     0.425520        0.750000        0.718963     0.464841      0.718963    
86      0.735841     0.642383     0.594138       0.675472   0.735704     0.447188     0.735704     0.751417     0.428449        0.751417        0.720635     0.467642      0.720635    
87      0.737939     0.640939     0.592320       0.673511   0.734694     0.444709     0.734694     0.750218     0.426248        0.750218        0.719799     0.464841      0.719799    
88      0.736533     0.644596     0.595225       0.674668   0.737992     0.447734     0.737992     0.751807     0.431039        0.751807        0.724676     0.465775      0.724676    
89      0.737374     0.641517     0.592652       0.675955   0.735271     0.444941     0.735271     0.750363     0.426937        0.750363        0.720775     0.464530      0.720775    
90      0.737173     0.642094     0.592899       0.675378   0.735885     0.445008     0.735885     0.750435     0.427588        0.750435        0.721889     0.463908      0.721889    
91      0.737635     0.642672     0.593145       0.675780   0.736498     0.445075     0.736498     0.750506     0.428243        0.750506        0.723004     0.463286      0.723004    
92      0.738677     0.642094     0.592985       0.676400   0.735848     0.445174     0.735848     0.750507     0.427630        0.750507        0.721750     0.464219      0.721750    
93      0.740533     0.643057     0.593166       0.675399   0.736969     0.444844     0.736969     0.750433     0.428613        0.750433        0.723979     0.462352      0.723979    
94      0.738707     0.644308     0.594587       0.676008   0.737910     0.446707     0.737910     0.751336     0.430467        0.751336        0.724955     0.464219      0.724955    
95      0.742136     0.642479     0.594122       0.675167   0.735832     0.447090     0.735832     0.751380     0.428531        0.751380        0.720914     0.467330      0.720914    
96      0.741329     0.643538     0.593944       0.675171   0.737230     0.446007     0.737230     0.750976     0.429435        0.750976        0.723979     0.463908      0.723979    
97      0.741303     0.643730     0.594169       0.675610   0.737372     0.446306     0.737372     0.751120     0.429724        0.751120        0.724119     0.464219      0.724119    
98      0.742378     0.643345     0.593718       0.675692   0.737089     0.445707     0.737089     0.750831     0.429147        0.750831        0.723840     0.463597      0.723840    
99      0.742837     0.644693     0.594694       0.675662   0.738342     0.446643     0.738342     0.751334     0.430885        0.751334        0.725791     0.463597      0.725791    
100     0.743750     0.642287     0.591835       0.674769   0.736588     0.442812     0.736588     0.749495     0.427249        0.749495        0.724119     0.459552      0.724119    
101     0.744891     0.643441     0.595420       0.675616   0.736468     0.448907     0.736468     0.752252     0.430037        0.752252        0.721332     0.469508      0.721332    
102     0.745649     0.641805     0.594837       0.675907   0.734674     0.448919     0.734674     0.752153     0.428249        0.752153        0.717988     0.471686      0.717988    
103     0.746115     0.642383     0.594396       0.675584   0.735591     0.447681     0.735591     0.751636     0.428571        0.751636        0.720217     0.468575      0.720217    
104     0.747557     0.643826     0.595527       0.675138   0.736902     0.448846     0.736902     0.752250     0.430448        0.752250        0.722168     0.468886      0.722168    
105     0.750690     0.641998     0.594032       0.674071   0.735269     0.447251     0.735269     0.751418     0.428043        0.751418        0.719799     0.468264      0.719799    
106     0.750116     0.642672     0.594949       0.674341   0.735711     0.448537     0.735711     0.752037     0.429099        0.752037        0.720078     0.469820      0.720078    
107     0.748375     0.643634     0.596161       0.675621   0.736385     0.450186     0.736385     0.752838     0.430560        0.752838        0.720635     0.471686      0.720635    
108     0.748614     0.643538     0.595576       0.675332   0.736520     0.449137     0.736520     0.752362     0.430199        0.752362        0.721332     0.469820      0.721332    
109     0.751018     0.640939     0.594038       0.674381   0.733937     0.447995     0.733937     0.751680     0.427080        0.751680        0.717013     0.471064      0.717013    
110     0.748285     0.644596     0.596858       0.676002   0.737284     0.450855     0.737284     0.753198     0.431786        0.753198        0.722029     0.471686      0.722029    
111     0.748795     0.641902     0.594048       0.674962   0.735141     0.447349     0.735141     0.751455     0.427962        0.751455        0.719521     0.468575      0.719521    
112     0.750467     0.640843     0.593539       0.675024   0.734036     0.447111     0.734036     0.751276     0.426753        0.751276        0.717570     0.469508      0.717570    
113     0.750016     0.640554     0.592299       0.674372   0.734220     0.444940     0.734220     0.750291     0.425889        0.750291        0.718824     0.465775      0.718824    
114     0.752864     0.639592     0.593063       0.674413   0.732672     0.447069     0.732672     0.751171     0.425400        0.751171        0.715062     0.471064      0.715062    
115     0.750326     0.640747     0.593384       0.675534   0.733984     0.446881     0.733984     0.751167     0.426591        0.751167        0.717570     0.469197      0.717570    
116     0.750356     0.642383     0.594568       0.675541   0.735516     0.448010     0.735516     0.751782     0.428653        0.751782        0.719939     0.469197      0.719939    
117     0.753151     0.637571     0.591171       0.674654   0.730962     0.444870     0.730962     0.750037     0.422689        0.750037        0.712833     0.469508      0.712833    
118     0.751305     0.641132     0.595896       0.675552   0.733357     0.451376     0.733357     0.753231     0.428133        0.753231        0.714505     0.477287      0.714505    
119     0.750772     0.642094     0.595819       0.676560   0.734604     0.450584     0.734604     0.752926     0.428973        0.752926        0.717152     0.474487      0.717152    
120     0.750431     0.642383     0.597575       0.676486   0.734192     0.453690     0.734192     0.754373     0.430045        0.754373        0.715062     0.480087      0.715062    
121     0.751692     0.642960     0.596790       0.675809   0.735265     0.451832     0.735265     0.753547     0.430219        0.753547        0.717849     0.475731      0.717849    
122     0.750615     0.642864     0.597751       0.677335   0.734720     0.453702     0.734720     0.754404     0.430567        0.754404        0.716037     0.479465      0.716037    
123     0.749258     0.644308     0.599483       0.677708   0.735774     0.455991     0.735774     0.755543     0.432682        0.755543        0.717013     0.481954      0.717013    
124     0.751824     0.642094     0.598482       0.677293   0.733424     0.455570     0.733424     0.755241     0.430191        0.755241        0.712833     0.484132      0.712833    
125     0.749925     0.641228     0.597254       0.676867   0.732875     0.453853     0.732875     0.754389     0.428848        0.754389        0.712554     0.481954      0.712554    
126     0.749192     0.642190     0.597521       0.676845   0.733973     0.453717     0.733973     0.754376     0.429844        0.754376        0.714644     0.480398      0.714644    
127     0.749096     0.643345     0.598958       0.677396   0.734793     0.455640     0.734793     0.755333     0.431553        0.755333        0.715341     0.482576      0.715341    
128     0.747867     0.644596     0.599521       0.678045   0.736120     0.455872     0.736120     0.755500     0.432969        0.755500        0.717709     0.481332      0.717709    
129     0.749272     0.643730     0.599581       0.677953   0.735004     0.456547     0.735004     0.755778     0.432185        0.755778        0.715341     0.483821      0.715341    
130     0.748763     0.644211     0.600359       0.678360   0.735267     0.457679     0.735267     0.756335     0.432973        0.756335        0.715341     0.485376      0.715341    
131     0.749961     0.643538     0.599699       0.677929   0.734709     0.456891     0.734708     0.755932     0.432058        0.755932        0.714644     0.484754      0.714644    
132     0.749250     0.643153     0.598647       0.677917   0.734688     0.455187     0.734688     0.755111     0.431236        0.755111        0.715341     0.481954      0.715341    
133     0.749967     0.641324     0.596551       0.677649   0.733309     0.452475     0.733309     0.753751     0.428611        0.753751        0.713947     0.479154      0.713947    
134     0.751568     0.639592     0.595812       0.677042   0.731445     0.452245     0.731445     0.753546     0.426718        0.753546        0.710603     0.481021      0.710603    
135     0.752622     0.639496     0.595914       0.676398   0.731277     0.452499     0.731277     0.753660     0.426681        0.753660        0.710185     0.481643      0.710185    
136     0.751263     0.641035     0.598145       0.677499   0.732233     0.455633     0.732233     0.755220     0.429082        0.755220        0.710603     0.485688      0.710603    
