RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
--------------------------------------------------------------------------------------------------------------------------------------------
1       2.793900     0.531421     0.513469       0.506858   0.622997     0.381086     0.622997     0.701115     0.322158        0.701115        0.560541     0.466397      0.560541    
2       1.486726     0.669714     0.511786       0.553954   0.794761     0.154680     0.794761     0.696176     0.371158        0.696176        0.925874     0.097698      0.925874    
3       1.072861     0.680396     0.514537       0.567762   0.804059     0.133577     0.804059     0.697298     0.413570        0.697298        0.949422     0.079652      0.949422    
4       0.889255     0.683476     0.505255       0.574473   0.809322     0.069063     0.809322     0.693010     0.382445        0.693010        0.972551     0.037959      0.972551    
5       0.838234     0.686363     0.514733       0.560838   0.809493     0.113197     0.809493     0.697281     0.451193        0.697281        0.964749     0.064717      0.964749    
6       0.805062     0.687037     0.524841       0.556434   0.807460     0.164440     0.807460     0.702049     0.471976        0.702049        0.950118     0.099564      0.950118    
7       0.790483     0.675970     0.524046       0.557665   0.797254     0.193533     0.797254     0.702015     0.420395        0.702015        0.922391     0.125700      0.922391    
8       0.784193     0.671158     0.528207       0.559141   0.791379     0.223938     0.791379     0.704303     0.414634        0.704303        0.903024     0.153391      0.903024    
9       0.781789     0.659706     0.526789       0.564163   0.780373     0.244767     0.780373     0.704023     0.390327        0.704023        0.875296     0.178283      0.875296    
10      0.781235     0.657396     0.529584       0.565819   0.777110     0.259875     0.777110     0.705628     0.391604        0.705628        0.864707     0.194462      0.864707    
11      0.781325     0.654124     0.528676       0.566243   0.774019     0.263223     0.774019     0.705282     0.385817        0.705282        0.857601     0.199751      0.857601    
12      0.780723     0.653931     0.528451       0.565696   0.773893     0.262813     0.773893     0.705168     0.385216        0.705168        0.857461     0.199440      0.857461    
13      0.780189     0.653065     0.527824       0.567837   0.773199     0.262329     0.773199     0.704863     0.383144        0.704864        0.856207     0.199440      0.856207    
14      0.779492     0.649504     0.525590       0.570209   0.770221     0.261557     0.770221     0.703793     0.375437        0.703793        0.850495     0.200685      0.850495    
15      0.779214     0.648253     0.524083       0.571373   0.769415     0.258771     0.769415     0.703021     0.371578        0.703021        0.849659     0.198507      0.849659    
16      0.779055     0.647580     0.524282       0.573426   0.768638     0.260799     0.768638     0.703156     0.371264        0.703156        0.847569     0.200996      0.847569    
17      0.778708     0.648350     0.525097       0.574860   0.769172     0.262116     0.769172     0.703571     0.373418        0.703571        0.848265     0.201929      0.848265    
18      0.778868     0.647676     0.524695       0.575931   0.768599     0.262044     0.768599     0.703378     0.372066        0.703378        0.847151     0.202240      0.847151    
19      0.778697     0.648638     0.526251       0.576949   0.769085     0.265540     0.769085     0.704193     0.375640        0.704193        0.847151     0.205352      0.847151    
20      0.778622     0.648638     0.526079       0.577171   0.769143     0.264949     0.769143     0.704098     0.375357        0.704098        0.847429     0.204729      0.847429    
21      0.778766     0.649119     0.526428       0.577178   0.769532     0.265216     0.769532     0.704269     0.376430        0.704269        0.848126     0.204729      0.848126    
22      0.778664     0.649216     0.526497       0.577009   0.769610     0.265269     0.769610     0.704304     0.376646        0.704304        0.848265     0.204729      0.848265    
23      0.778913     0.649216     0.526497       0.577380   0.769610     0.265269     0.769610     0.704304     0.376646        0.704304        0.848265     0.204729      0.848265    
24      0.778974     0.649504     0.526620       0.577296   0.769872     0.265133     0.769872     0.704359     0.377153        0.704359        0.848823     0.204418      0.848823    
25      0.778624     0.649119     0.525826       0.576807   0.769736     0.263137     0.769736     0.703939     0.375433        0.703939        0.849101     0.202551      0.849101    
26      0.778972     0.649216     0.526068       0.577144   0.769756     0.263785     0.769756     0.704067     0.375936        0.704067        0.848962     0.203174      0.848962    
27      0.778983     0.649408     0.526379       0.576676   0.769853     0.264486     0.769853     0.704230     0.376653        0.704230        0.848962     0.203796      0.848962    
28      0.778945     0.649408     0.526293       0.576510   0.769882     0.264189     0.769882     0.704183     0.376511        0.704183        0.849101     0.203485      0.849101    
29      0.779057     0.649504     0.526449       0.576258   0.769931     0.264540     0.769931     0.704264     0.376870        0.704264        0.849101     0.203796      0.849101    
30      0.779124     0.649408     0.526379       0.576258   0.769853     0.264486     0.769853     0.704230     0.376653        0.704230        0.848962     0.203796      0.848962    
31      0.778892     0.649408     0.526035       0.576078   0.769969     0.263296     0.769969     0.704042     0.376083        0.704042        0.849519     0.202551      0.849519    
32      0.778848     0.649312     0.525880       0.575737   0.769920     0.262945     0.769920     0.703960     0.375723        0.703960        0.849519     0.202240      0.849519    
33      0.779080     0.649312     0.525966       0.575393   0.769891     0.263243     0.769891     0.704007     0.375866        0.704007        0.849380     0.202551      0.849380    
34      0.778957     0.650178     0.526507       0.575418   0.770619     0.263425     0.770619     0.704268     0.377687        0.704268        0.850773     0.202240      0.850773    
35      0.778839     0.649601     0.525917       0.575453   0.770211     0.262508     0.770211     0.703969     0.376088        0.703969        0.850216     0.201618      0.850216    
36      0.779226     0.649504     0.526105       0.575327   0.770047     0.263350     0.770047     0.704076     0.376301        0.704076        0.849659     0.202551      0.849659    
37      0.778987     0.650274     0.526233       0.575279   0.770812     0.262282     0.770812     0.704113     0.377336        0.704113        0.851470     0.200996      0.851470    
38      0.778820     0.650371     0.526302       0.575189   0.770890     0.262335     0.770890     0.704147     0.377557        0.704147        0.851609     0.200996      0.851609    
39      0.778864     0.650178     0.526077       0.574869   0.770764     0.261929     0.770764     0.704032     0.376973        0.704032        0.851470     0.200685      0.851470    
40      0.778853     0.650371     0.526131       0.574739   0.770948     0.261735     0.770948     0.704053     0.377270        0.704053        0.851888     0.200373      0.851888    
