RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
--------------------------------------------------------------------------------------------------------------------------------------------
1       3.725903     0.309306     0.500000       0.481039   0.000000     0.472473     0.000000     0.000000     0.309306        0.000000        0.000000     1.000000      0.000000    
2       1.630963     0.695506     0.515767       0.576150   0.817447     0.082899     0.817447     0.697587     0.605932        0.697587        0.987042     0.044493      0.987042    
3       1.159718     0.696083     0.532593       0.614711   0.813753     0.174595     0.813753     0.705491     0.545752        0.705491        0.961265     0.103920      0.961265    
4       0.897877     0.706188     0.573066       0.650401   0.812573     0.320499     0.812573     0.726295     0.562940        0.726295        0.922112     0.224020      0.922112    
5       0.771552     0.701472     0.593705       0.666696   0.802168     0.392003     0.802168     0.739621     0.529661        0.739621        0.876271     0.311139      0.876271    
6       0.716640     0.701087     0.605281       0.682852   0.798312     0.422891     0.798312     0.747537     0.524908        0.747537        0.856486     0.354076      0.856486    
7       0.709931     0.691079     0.605251       0.682515   0.787811     0.432260     0.787811     0.749465     0.500820        0.749465        0.830291     0.380212      0.830291    
8       0.713926     0.677702     0.602010       0.681578   0.774311     0.436480     0.774311     0.749804     0.475266        0.749804        0.800474     0.403547      0.800474    
9       0.715089     0.673371     0.602999       0.684257   0.769084     0.442143     0.769084     0.751496     0.468641        0.751496        0.787516     0.418482      0.787516    
10      0.715183     0.665384     0.594983       0.684066   0.762937     0.431398     0.762937     0.746996     0.454671        0.746996        0.779574     0.410392      0.779574    
11      0.716564     0.660957     0.592036       0.680949   0.758946     0.428734     0.758946     0.745631     0.447680        0.745631        0.772746     0.411325      0.772746    
12      0.718156     0.665287     0.595686       0.681941   0.762561     0.432996     0.762561     0.747557     0.454795        0.747557        0.778180     0.413192      0.778180    
13      0.714791     0.666923     0.595238       0.681383   0.764606     0.430663     0.764606     0.746877     0.456894        0.746877        0.783196     0.407281      0.783196    
14      0.717303     0.657973     0.589189       0.678313   0.756575     0.425105     0.756575     0.744039     0.442722        0.744039        0.769542     0.408836      0.769542    
15      0.716256     0.660668     0.589507       0.676789   0.759580     0.423479     0.759580     0.743757     0.446244        0.743758        0.776090     0.402925      0.776090    
16      0.712168     0.665576     0.597613       0.679214   0.762165     0.436882     0.762165     0.748991     0.455867        0.748991        0.775812     0.419415      0.775812    
17      0.708749     0.667020     0.604242       0.682555   0.761313     0.449570     0.761313     0.753928     0.459961        0.753928        0.768845     0.439639      0.768845    
18      0.710427     0.667020     0.600376       0.683024   0.762786     0.441575     0.762786     0.750844     0.458753        0.750844        0.775115     0.425638      0.775115    
19      0.710709     0.669233     0.605415       0.682306   0.763439     0.450344     0.763439     0.754353     0.463310        0.754353        0.772746     0.438083      0.772746    
20      0.710319     0.668559     0.603553       0.682474   0.763364     0.447013     0.763364     0.753016     0.461845        0.753016        0.774000     0.433105      0.774000    
21      0.712348     0.667982     0.603994       0.679308   0.762528     0.448353     0.762528     0.753503     0.461184        0.753503        0.771771     0.436217      0.771771    
22      0.713064     0.666731     0.603518       0.680118   0.761255     0.448303     0.761255     0.753412     0.459354        0.753412        0.769263     0.437772      0.769263    
23      0.709897     0.672601     0.608369       0.682298   0.766218     0.453933     0.766218     0.755932     0.468833        0.755932        0.776787     0.439950      0.776787    
24      0.713007     0.668174     0.605593       0.681600   0.762141     0.451479     0.762141     0.754748     0.461914        0.754748        0.769681     0.441506      0.769681    
25      0.710593     0.671735     0.608343       0.683621   0.765228     0.454502     0.765228     0.756121     0.467588        0.756121        0.774558     0.442128      0.774558    
26      0.709888     0.672313     0.606356       0.683337   0.766637     0.450008     0.766637     0.754384     0.467921        0.754384        0.779295     0.433416      0.779295    
27      0.714137     0.672698     0.608524       0.682358   0.766270     0.454181     0.766270     0.756035     0.469009        0.756035        0.776787     0.440261      0.776787    
28      0.711990     0.672601     0.607252       0.684646   0.766635     0.451644     0.766635     0.755033     0.468562        0.755033        0.778598     0.435905      0.778598    
29      0.709062     0.673467     0.607535       0.685978   0.767523     0.451592     0.767523     0.755055     0.469896        0.755055        0.780410     0.434661      0.780410    
30      0.713740     0.672409     0.608401       0.684422   0.765984     0.454137     0.765984     0.756005     0.468564        0.756005        0.776230     0.440572      0.776230    
31      0.714760     0.671158     0.607839       0.684021   0.764750     0.453892     0.764750     0.755852     0.466645        0.755852        0.773861     0.441817      0.773861    
32      0.716901     0.666635     0.603190       0.682158   0.761268     0.447704     0.761268     0.753171     0.459124        0.753171        0.769542     0.436839      0.769542    
33      0.712813     0.666057     0.605006       0.684706   0.759895     0.451817     0.759895     0.754777     0.458922        0.754777        0.765083     0.444928      0.765083    
34      0.711158     0.662593     0.605934       0.686700   0.755441     0.456097     0.755441     0.756391     0.454827        0.756391        0.754494     0.457374      0.754494    
35      0.711354     0.662593     0.604645       0.685231   0.755952     0.453554     0.755952     0.755321     0.454403        0.755321        0.756584     0.452707      0.756584    
36      0.710411     0.661438     0.607331       0.686704   0.753503     0.459601     0.753503     0.757858     0.453883        0.757858        0.749199     0.465464      0.749199    
37      0.709013     0.661919     0.610171       0.687839   0.752936     0.464726     0.752936     0.760153     0.455360        0.760153        0.745855     0.474487      0.745855    
38      0.710982     0.661919     0.609312       0.686375   0.753283     0.463090     0.753283     0.759417     0.455092        0.759417        0.747248     0.471375      0.747248    
39      0.710214     0.659032     0.607050       0.686209   0.750721     0.460649     0.750721     0.758243     0.450969        0.758243        0.743347     0.470753      0.743347    
40      0.710472     0.659032     0.608081       0.686233   0.750300     0.462612     0.750300     0.759127     0.451317        0.759127        0.741675     0.474487      0.741675    
