RESOCONTO ADDESTRAMENTO FEDERATO SMARTGRID
Rounds totali: 201

TABELLA RIASSUNTIVA METRICHE:
============================================================================================================================================
Round   Loss         Accuracy     BalancedAcc    AUC        F1_Score     F1_Natural   F1_Attack    Precision    Precision_Nat   Precision_Att   Recall       Recall_Nat    Recall_Att  
--------------------------------------------------------------------------------------------------------------------------------------------
1       1.017202     0.419786     0.474575       0.448650   0.440672     0.397281     0.440672     0.659356     0.292679        0.659356        0.330918     0.618233      0.330918    
2       0.676776     0.686556     0.507141       0.559177   0.811614     0.067564     0.811614     0.693829     0.422939        0.693829        0.977567     0.036714      0.977567    
3       0.680942     0.669137     0.514804       0.568787   0.793340     0.170767     0.793340     0.697642     0.379828        0.697642        0.919465     0.110143      0.919465    
4       0.674836     0.661438     0.515587       0.557528   0.785592     0.195702     0.785592     0.698191     0.368966        0.698191        0.898008     0.133167      0.898008    
5       0.678059     0.650948     0.520192       0.561607   0.773525     0.239144     0.773525     0.700837     0.367032        0.700837        0.863035     0.177349      0.863035    
6       0.678979     0.640843     0.528339       0.559914   0.760000     0.286697     0.760000     0.705721     0.371655        0.705721        0.823325     0.233354      0.823325    
7       0.682788     0.638341     0.539499       0.563141   0.753120     0.324101     0.753120     0.712492     0.384058        0.712492        0.798662     0.280336      0.798662    
8       0.682099     0.643345     0.545699       0.567396   0.756409     0.334411     0.756409     0.715939     0.395497        0.715939        0.801728     0.289670      0.801728    
9       0.683130     0.637860     0.547655       0.568489   0.749451     0.347041     0.749451     0.717674     0.392311        0.717674        0.784172     0.311139      0.784172    
10      0.686843     0.629872     0.545137       0.563823   0.741184     0.350557     0.741184     0.716777     0.383309        0.716777        0.767312     0.322962      0.767312    
11      0.687979     0.627562     0.546128       0.564568   0.738053     0.355859     0.738053     0.717652     0.382606        0.717652        0.759649     0.332607      0.759649    
12      0.688676     0.623328     0.545382       0.565923   0.733306     0.358991     0.733306     0.717562     0.378976        0.717562        0.749756     0.341008      0.749756    
13      0.689192     0.621596     0.545073       0.564652   0.731347     0.360234     0.731347     0.717522     0.377558        0.717522        0.745715     0.344431      0.745715    
14      0.690479     0.620248     0.546503       0.563283   0.729095     0.365187     0.729095     0.718636     0.378081        0.718636        0.739863     0.353143      0.739863    
